Join Date,Name,Completed
"Jan 5, 2020, 3:33:05 PM",NYRR Virtual Resolution Run 5K,true
"Feb 18, 2020, 2:32:34 AM",Runderwear 10k Challenge,true
"Feb 29, 2020, 9:48:13 PM",March 5K,true
"Feb 29, 2020, 9:48:15 PM",March 10K,true
"Mar 18, 2020, 3:03:23 AM",March Half Marathon,true
"Mar 18, 2020, 3:03:27 AM",March Running Distance Challenge,true
"Jun 26, 2020, 2:03:26 PM",July 10K,true
"Jun 26, 2020, 2:03:30 PM",July Running Challenge,true
"Jun 26, 2020, 2:03:36 PM",July Running Endurance Challenge,false
"Jun 26, 2020, 2:03:44 PM",July 5K,true
