Following Athlete ID,Follow Status,Created At
39781596,Accepted,"Jun 2, 2019, 3:30:39 PM"
38661790,Accepted,"Jun 2, 2019, 3:30:40 PM"
15018171,Accepted,"Jun 2, 2019, 3:32:52 PM"
31544700,Accepted,"Jun 2, 2019, 9:34:32 PM"
2153423,Accepted,"Jun 3, 2019, 12:36:03 PM"
21657703,Accepted,"Jun 3, 2019, 6:30:08 PM"
27062382,Accepted,"Jun 8, 2019, 6:17:13 PM"
30119876,Accepted,"Jun 8, 2019, 6:17:16 PM"
26463554,Accepted,"Jun 9, 2019, 3:10:22 PM"
32007190,Accepted,"Jul 11, 2019, 2:15:44 AM"
49453570,Accepted,"Jan 1, 2020, 3:43:33 PM"
31280053,Accepted,"Jan 2, 2020, 12:58:26 AM"
21678403,Accepted,"Jan 22, 2020, 1:29:28 AM"
26527145,Accepted,"Jan 22, 2020, 1:29:30 AM"
49807928,Accepted,"Mar 2, 2020, 11:34:58 PM"
11990708,Accepted,"Mar 3, 2020, 7:15:39 PM"
2921361,Accepted,"Mar 9, 2020, 11:31:20 PM"
28476388,Accepted,"Apr 23, 2020, 5:26:05 PM"
47231135,Accepted,"Apr 30, 2020, 1:47:38 PM"
56962693,Accepted,"May 4, 2020, 3:06:08 PM"
51362130,Accepted,"May 7, 2020, 11:09:42 AM"
57499270,Accepted,"May 7, 2020, 10:02:44 PM"
16521434,Accepted,"May 8, 2020, 3:41:39 PM"
50349859,Accepted,"May 9, 2020, 2:54:40 AM"
58730774,Accepted,"May 18, 2020, 8:31:49 PM"
57860665,Accepted,"May 26, 2020, 11:03:37 AM"
55253977,Accepted,"May 26, 2020, 10:13:28 PM"
58861415,Accepted,"May 26, 2020, 10:13:29 PM"
58557750,Accepted,"May 28, 2020, 12:27:46 PM"
43496719,Accepted,"May 29, 2020, 3:15:29 AM"
56004546,Accepted,"Jun 14, 2020, 12:52:05 AM"
55110807,Accepted,"Oct 17, 2020, 9:05:25 PM"
66668516,Accepted,"Nov 25, 2020, 12:36:04 AM"
