Kudos Date,Kudos Type,Parent ID
"Jun 3, 2019, 6:30:35 PM",Activity,2417786846
"Jun 10, 2019, 2:18:21 AM",Activity,2436662576
"Jun 11, 2019, 5:58:32 PM",Activity,2442082960
"Jun 11, 2019, 5:58:44 PM",Activity,2441500301
"Jun 20, 2019, 12:05:21 AM",Activity,2464226911
"Jun 24, 2019, 1:19:17 AM",Activity,2470818704
"Jul 7, 2019, 1:14:03 PM",Activity,2511647266
"Jul 7, 2019, 1:14:11 PM",Activity,2510481452
"Jul 11, 2019, 2:16:09 AM",Activity,2516077080
"Jul 11, 2019, 11:41:19 AM",Activity,2521602102
"Jul 13, 2019, 2:05:14 PM",Activity,2526955988
"Jul 17, 2019, 12:16:53 AM",Activity,2536921129
"Jul 17, 2019, 12:17:27 AM",Activity,2535334148
"Jul 19, 2019, 10:31:54 AM",Activity,2544125702
"Jul 21, 2019, 8:27:22 PM",Activity,2546409836
"Jul 21, 2019, 8:27:45 PM",Activity,2547846982
"Aug 24, 2019, 6:38:30 PM",Activity,2646983038
"Aug 24, 2019, 6:39:31 PM",Activity,2643921424
"Dec 28, 2019, 3:00:33 PM",Activity,2960853747
"Dec 28, 2019, 3:01:24 PM",Activity,2960248718
"Jan 1, 2020, 3:43:12 PM",Activity,2966664718
"Jan 4, 2020, 8:43:09 PM",Activity,2981773422
"Jan 4, 2020, 8:43:16 PM",Activity,2981737226
"Jan 6, 2020, 2:51:01 AM",Activity,2985411531
"Jan 6, 2020, 3:35:14 AM",Activity,2984912935
"Jan 7, 2020, 1:18:32 PM",Activity,2986966940
"Jan 8, 2020, 7:04:02 PM",Activity,2990389462
"Jan 8, 2020, 7:04:07 PM",Activity,2991520341
"Jan 8, 2020, 7:04:58 PM",Activity,2989960501
"Jan 9, 2020, 2:41:47 PM",Activity,2994859125
"Jan 9, 2020, 2:41:50 PM",Activity,2995514665
"Jan 14, 2020, 11:19:09 PM",Activity,3001967325
"Jan 15, 2020, 3:52:47 AM",Activity,3012093810
"Jan 17, 2020, 1:06:21 AM",Activity,3016571799
"Jan 17, 2020, 1:06:37 AM",Activity,3013212975
"Jan 17, 2020, 1:06:59 AM",Activity,3017910376
"Jan 20, 2020, 2:25:05 PM",Activity,3027092404
"Jan 22, 2020, 1:29:21 AM",Activity,3031815897
"Jan 22, 2020, 1:30:38 AM",Activity,3028492173
"Jan 23, 2020, 1:23:17 PM",Activity,3033451478
"Jan 23, 2020, 3:36:56 PM",Activity,3035263132
"Jan 24, 2020, 1:53:22 PM",Activity,3036690265
"Jan 24, 2020, 1:54:35 PM",Activity,3036637785
"Jan 24, 2020, 6:31:11 PM",Activity,3039098760
"Jan 25, 2020, 5:46:28 PM",Activity,3042419430
"Jan 26, 2020, 6:32:06 PM",Activity,3046017983
"Jan 26, 2020, 6:32:22 PM",Activity,3042810070
"Jan 27, 2020, 12:59:57 PM",Activity,3046590450
"Jan 29, 2020, 2:27:19 AM",Activity,3050396219
"Jan 29, 2020, 2:28:12 AM",Activity,3050563273
"Jan 29, 2020, 2:28:28 AM",Activity,3051264802
"Jan 30, 2020, 7:40:01 PM",Activity,3057211356
"Jan 31, 2020, 1:58:09 AM",Activity,3057950274
"Feb 1, 2020, 5:32:50 PM",Activity,3062564499
"Feb 1, 2020, 8:38:03 PM",Activity,3062970215
"Feb 4, 2020, 1:28:52 PM",Activity,3070749543
"Feb 5, 2020, 12:56:49 AM",Activity,3072562994
"Feb 6, 2020, 1:12:44 AM",Activity,3074247855
"Feb 7, 2020, 1:08:40 AM",Activity,3076387032
"Feb 7, 2020, 1:08:46 AM",Activity,3075587359
"Feb 8, 2020, 5:20:37 PM",Activity,3083088593
"Feb 8, 2020, 8:12:03 PM",Activity,3083211417
"Feb 9, 2020, 2:05:37 PM",Activity,3085596998
